Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha_Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;3/1/2016;FLAGRANTE;HOMBRE;47;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;3/1/2016;FLAGRANTE;HOMBRE;44;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;3/1/2016;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;3/1/2016;FLAGRANTE;HOMBRE;43;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;3/1/2016;BOLETA;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;3/1/2016;FLAGRANTE;HOMBRE;51;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;3/1/2016;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;3/1/2016;FLAGRANTE;HOMBRE;43;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;3/1/2016;FLAGRANTE;HOMBRE;47;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;3/1/2016;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;FALSIFICACION;3/1/2016;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;4/1/2016;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;4/1/2016;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;4/1/2016;FLAGRANTE;MUJER;23;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;4/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;4/1/2016;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;4/1/2016;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;4/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;4/1/2016;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;4/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;4/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;4/1/2016;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;4/1/2016;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;4/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;4/1/2016;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;4/1/2016;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;4/1/2016;FLAGRANTE;HOMBRE;39;FRANCIA
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;4/1/2016;FLAGRANTE;MUJER;21;COLOMBIA
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;4/1/2016;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;5/1/2016;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;5/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;FALSIFICACION;5/1/2016;FLAGRANTE;MUJER;68;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;5/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;5/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;5/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;5/1/2016;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;5/1/2016;FLAGRANTE;MUJER;37;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;5/1/2016;FLAGRANTE;HOMBRE;43;CUBA
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;5/1/2016;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;5/1/2016;FLAGRANTE;MUJER;27;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;5/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;23;PERU
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;21;COLOMBIA
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;5/1/2016;FLAGRANTE;HOMBRE;50;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;5/1/2016;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;5/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;6/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;6/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;6/1/2016;FLAGRANTE;MUJER;41;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;6/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;6/1/2016;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A CARROS;6/1/2016;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;6/1/2016;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;6/1/2016;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;HURTO;6/1/2016;FLAGRANTE;MUJER;28;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;6/1/2016;FLAGRANTE;MUJER;28;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;6/1/2016;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;7/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;7/1/2016;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;7/1/2016;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;7/1/2016;BOLETA;HOMBRE;61;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;7/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;7/1/2016;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;7/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;ACOSO SEXUAL;7/1/2016;FLAGRANTE;HOMBRE;67;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;7/1/2016;FLAGRANTE;MUJER;40;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;7/1/2016;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;7/1/2016;FLAGRANTE;MUJER;24;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;7/1/2016;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;7/1/2016;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;7/1/2016;FLAGRANTE;HOMBRE;43;ECUADOR
ZONA 9;DMQ;QUITO;ESTAFA;7/1/2016;FLAGRANTE;MUJER;19;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;7/1/2016;FLAGRANTE;HOMBRE;40;ECUADOR
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;49;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;8/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;8/1/2016;FLAGRANTE;HOMBRE;26;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;8/1/2016;FLAGRANTE;HOMBRE;22;COLOMBIA
ZONA 9;DMQ;QUITO;ROBO DOMICILIO;8/1/2016;FLAGRANTE;HOMBRE;41;COLOMBIA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;8/1/2016;FLAGRANTE;HOMBRE;33;CUBA
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;MUJER;37;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;50;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;34;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;47;COLOMBIA
ZONA 8;DMG;GUAYAQUIL;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;36;ECUADOR
ZONA 8;DMG;GUAYAQUIL;ASOCIACION ILICITA;8/1/2016;BOLETA;HOMBRE;52;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;MUJER;38;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;8/1/2016;BOLETA;MUJER;31;ECUADOR
ZONA 9;DMQ;QUITO;PLAGIO O SECUESTRO PERSONAS;8/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;8/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 2;NAPO;TENA;VARIOS;8/1/2016;BOLETA;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;8/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;8/1/2016;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;8/1/2016;FLAGRANTE;HOMBRE;53;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;9/1/2016;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;9/1/2016;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;9/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;9/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;9/1/2016;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;9/1/2016;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;9/1/2016;BOLETA;HOMBRE;54;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;9/1/2016;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;9/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;9/1/2016;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;9/1/2016;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;9/1/2016;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;9/1/2016;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;9/1/2016;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;9/1/2016;FLAGRANTE;MUJER;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;9/1/2016;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10/1/2016;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10/1/2016;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10/1/2016;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10/1/2016;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;BOLETA;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10/1/2016;FLAGRANTE;HOMBRE;37;ECUADOR
