Zona,Subzona,Canton,Presunta_Subinfraccion,Fecha_Detencion,Flagrante/Boleta,Sexo,Edad,Nacionalidad
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,19,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-05,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-05,SI,HOMBRE,21,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-05,SI,HOMBRE,34,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-05,SI,MUJER,35,ECUADOR
ZONA 9,DMQ,QUITO,HERIDAS/LESIONES,2016-01-05,SI,MUJER,37,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,ESTAFA,2016-01-05,SI,HOMBRE,43,CUBA
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-05,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,ROBO A PERSONAS,2016-01-05,SI,MUJER,27,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,39,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,33,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,22,ECUADOR
ZONA 9,DMQ,QUITO,RECEPTACION,2016-01-05,SI,HOMBRE,29,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,23,PERU
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,23,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,21,COLOMBIA
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,24,ECUADOR
ZONA 9,DMQ,QUITO,VARIOS,2016-01-05,SI,HOMBRE,50,ECUADOR
