Tipo Muert.,Zona,Subzona,Area del Hecho,Lugar,Fecha Infraccion,Tipo Arma,Presunta Motivacion Observacion,Sexo,Estado Civil,Nacionalidad,Instruccion
ASESINATO,ZONA 3,CHIMBORAZO,URBANO,VIA PUBLICA,2020-01-07,PUÑAL,LITIGIO DE BIENES,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-13,,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2020-01-12,,ACTOS DE ODIO,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,RURAL,LAGUNA - LAGO,2020-01-11,CORTO PUNZANTE,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,NO DETERMINADO,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,RURAL,LAGUNA - LAGO,2020-01-11,CORTO PUNZANTE,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,NO DETERMINADO,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,CASA/VILLA,2020-01-13,,EMOCIONAL,MUJER,SOLTERO,VENEZUELA,
HOMICIDIO,ZONA 7,EL ORO,RURAL,HACIENDAS,2020-01-16,,ROBO A PERSONAS,HOMBRE,CASADO,ECUADOR,
ASESINATO,ZONA 8,D.M. GUAYAQUIL,URBANO,VIA PUBLICA,2020-01-16,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,BACHILLERATO
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-01-17,,RIÑAS,HOMBRE,CASADO,ECUADOR,BASICA
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,PARQUES Y PLAZAS,2020-01-17,,ROBO A PERSONAS,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,LOS RIOS,URBANO,VIA PUBLICA,2020-01-17,,AMENAZA,HOMBRE,SOLTERO,ECUADOR,
ASESINATO,ZONA 5,GUAYAS,RURAL,HACIENDAS,2020-01-18,,RIÑAS,HOMBRE,EN UNION DE HECHO,ECUADOR,
ASESINATO,ZONA 4,MANABI,URBANO,VIA PUBLICA,2020-01-18,CARTUCHERA          ,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HOMBRE,SOLTERO,ECUADOR,
HOMICIDIO,ZONA 7,EL ORO,RURAL,VIA PUBLICA,2020-01-18,CARTUCHERA          ,ROBO A PERSONAS,HOMBRE,SOLTERO,PERU,
HOMICIDIO,ZONA 9,D.M. QUITO,URBANO,VIA PUBLICA,2020-01-19,,RIÑAS,HOMBRE,DIVORCIADO,ECUADOR,
HOMICIDIO,ZONA 8,D.M. GUAYAQUIL,URBANO,CASA/VILLA,2020-01-19,OTRO,RIÑAS,HOMBRE,SOLTERO,ECUADOR,
